epochs,test loss,train loss,test acc,train acc
1.0,2.0660781860351562,2.0664143562316895,0.14285714285714285,0.14285714285714285
2.0,2.054269313812256,2.054568290710449,0.14285714285714285,0.14714285714285713
3.0,2.0437939167022705,2.0440378189086914,0.1492857142857143,0.15857142857142856
4.0,2.033210277557373,2.0333950519561768,0.17285714285714285,0.18285714285714286
5.0,2.0219435691833496,2.0220766067504883,0.245,0.2814285714285714
6.0,2.009866237640381,2.0099639892578125,0.3557142857142857,0.39
7.0,1.9970858097076416,1.997176170349121,0.4742857142857143,0.4857142857142857
8.0,1.983833909034729,1.983954906463623,0.5878571428571429,0.5871428571428572
9.0,1.970388650894165,1.9705806970596313,0.6214285714285714,0.6171428571428571
10.0,1.9570105075836182,1.9573118686676025,0.6035714285714285,0.5942857142857143
11.0,1.9438962936401367,1.9443364143371582,0.5857142857142857,0.5785714285714286
12.0,1.9311707019805908,1.931768774986267,0.5771428571428572,0.5614285714285714
13.0,1.9189139604568481,1.919675588607788,0.5742857142857143,0.5571428571428572
14.0,1.9071887731552124,1.908108115196228,0.5664285714285714,0.5542857142857143
15.0,1.8960440158843994,1.8971060514450073,0.5685714285714286,0.5557142857142857
16.0,1.885504126548767,1.8866885900497437,0.5671428571428572,0.5557142857142857
17.0,1.875564455986023,1.8768510818481445,0.5692857142857143,0.5528571428571428
18.0,1.8662011623382568,1.8675732612609863,0.5714285714285714,0.5557142857142857
19.0,1.8573801517486572,1.8588263988494873,0.5721428571428572,0.5585714285714286
20.0,1.8490654230117798,1.8505784273147583,0.5742857142857143,0.5571428571428572
21.0,1.841218113899231,1.8427940607070923,0.575,0.5628571428571428
22.0,1.8337981700897217,1.8354357481002808,0.575,0.5642857142857143
23.0,1.8267656564712524,1.8284648656845093,0.5771428571428572,0.5657142857142857
24.0,1.8200814723968506,1.8218425512313843,0.5785714285714286,0.5657142857142857
25.0,1.8137075901031494,1.8155313730239868,0.5814285714285714,0.5685714285714286
26.0,1.8076093196868896,1.8094960451126099,0.5892857142857143,0.5771428571428572
27.0,1.8017547130584717,1.8037045001983643,0.5942857142857143,0.5871428571428572
28.0,1.7961150407791138,1.7981281280517578,0.5992857142857143,0.59
29.0,1.7906641960144043,1.7927411794662476,0.6007142857142858,0.5957142857142858
30.0,1.7853810787200928,1.787521481513977,0.6092857142857143,0.6014285714285714
31.0,1.780246376991272,1.7824500799179077,0.615,0.6085714285714285
32.0,1.7752448320388794,1.777511477470398,0.6264285714285714,0.6214285714285714
33.0,1.7703642845153809,1.772693395614624,0.6385714285714286,0.6228571428571429
34.0,1.7655951976776123,1.7679858207702637,0.6507142857142857,0.6342857142857142
35.0,1.7609310150146484,1.7633821964263916,0.6614285714285715,0.6514285714285715
36.0,1.7563682794570923,1.758878231048584,0.6742857142857143,0.6614285714285715
37.0,1.7519038915634155,1.7544699907302856,0.685,0.67
38.0,1.7475379705429077,1.7501572370529175,0.6942857142857143,0.68
39.0,1.7432695627212524,1.745939016342163,0.7021428571428572,0.6885714285714286
40.0,1.7390992641448975,1.741814136505127,0.71,0.6985714285714286
41.0,1.7350267171859741,1.7377830743789673,0.7185714285714285,0.7028571428571428
42.0,1.7310513257980347,1.7338440418243408,0.7242857142857143,0.7114285714285714
43.0,1.727171778678894,1.729996681213379,0.7278571428571429,0.7142857142857143
44.0,1.7233868837356567,1.7262389659881592,0.7307142857142858,0.7228571428571429
45.0,1.7196946144104004,1.722569227218628,0.7335714285714285,0.7314285714285714
46.0,1.7160930633544922,1.718985915184021,0.7371428571428571,0.7357142857142858
47.0,1.7125794887542725,1.7154865264892578,0.7421428571428571,0.74
48.0,1.709152102470398,1.7120692729949951,0.7428571428571429,0.7442857142857143
49.0,1.705808162689209,1.7087318897247314,0.7428571428571429,0.75
50.0,1.7025458812713623,1.7054730653762817,0.745,0.75
51.0,1.6993626356124878,1.7022901773452759,0.7471428571428571,0.75
52.0,1.696256160736084,1.6991815567016602,0.7471428571428571,0.7514285714285714
53.0,1.6932247877120972,1.6961455345153809,0.7485714285714286,0.7557142857142857
54.0,1.6902658939361572,1.6931796073913574,0.7478571428571429,0.7557142857142857
55.0,1.6873775720596313,1.6902823448181152,0.7485714285714286,0.7557142857142857
56.0,1.6845577955245972,1.6874518394470215,0.75,0.7542857142857143
57.0,1.6818044185638428,1.6846864223480225,0.7514285714285714,0.7557142857142857
58.0,1.6791152954101562,1.6819841861724854,0.7528571428571429,0.7557142857142857
59.0,1.676489233970642,1.6793432235717773,0.7542857142857143,0.7571428571428571
60.0,1.6739234924316406,1.6767618656158447,0.7564285714285715,0.7585714285714286
61.0,1.6714168787002563,1.6742388010025024,0.7571428571428571,0.7585714285714286
62.0,1.6689672470092773,1.6717721223831177,0.7578571428571429,0.7585714285714286
63.0,1.6665735244750977,1.6693600416183472,0.7585714285714286,0.76
64.0,1.6642332077026367,1.6670011281967163,0.76,0.7614285714285715
65.0,1.6619447469711304,1.6646939516067505,0.7614285714285715,0.7614285714285715
66.0,1.6597070693969727,1.6624372005462646,0.7621428571428571,0.7614285714285715
67.0,1.6575182676315308,1.6602290868759155,0.7642857142857142,0.7614285714285715
68.0,1.6553771495819092,1.658068299293518,0.765,0.7628571428571429
69.0,1.653281807899475,1.6559535264968872,0.7642857142857142,0.7642857142857142
70.0,1.6512316465377808,1.6538832187652588,0.7642857142857142,0.7642857142857142
71.0,1.6492246389389038,1.651856541633606,0.7642857142857142,0.7642857142857142
72.0,1.6472597122192383,1.6498719453811646,0.7642857142857142,0.7642857142857142
73.0,1.6453355550765991,1.6479281187057495,0.765,0.7642857142857142
74.0,1.6434510946273804,1.6460243463516235,0.765,0.7642857142857142
75.0,1.641605019569397,1.6441587209701538,0.765,0.7642857142857142
76.0,1.6397961378097534,1.6423306465148926,0.7664285714285715,0.7642857142857142
77.0,1.638023853302002,1.6405394077301025,0.7671428571428571,0.7642857142857142
78.0,1.6362862586975098,1.6387834548950195,0.7671428571428571,0.7642857142857142
79.0,1.6345832347869873,1.637061595916748,0.7678571428571429,0.7642857142857142
80.0,1.6329131126403809,1.6353733539581299,0.7678571428571429,0.7642857142857142
81.0,1.6312756538391113,1.6337175369262695,0.7678571428571429,0.7642857142857142
82.0,1.6296690702438354,1.6320933103561401,0.7678571428571429,0.7642857142857142
83.0,1.6280927658081055,1.6304996013641357,0.7685714285714286,0.7642857142857142
84.0,1.6265461444854736,1.6289362907409668,0.7685714285714286,0.7657142857142857
85.0,1.625028371810913,1.62740159034729,0.7678571428571429,0.7671428571428571
86.0,1.623538613319397,1.6258952617645264,0.7678571428571429,0.7671428571428571
87.0,1.6220756769180298,1.6244161128997803,0.7678571428571429,0.7671428571428571
88.0,1.6206393241882324,1.6229639053344727,0.7678571428571429,0.7671428571428571
89.0,1.6192288398742676,1.621537685394287,0.7685714285714286,0.7671428571428571
90.0,1.6178430318832397,1.6201364994049072,0.7707142857142857,0.7671428571428571
91.0,1.6164817810058594,1.618760108947754,0.7707142857142857,0.7671428571428571
92.0,1.615143895149231,1.6174075603485107,0.7707142857142857,0.7671428571428571
93.0,1.6138293743133545,1.6160786151885986,0.7707142857142857,0.7671428571428571
94.0,1.6125370264053345,1.6147722005844116,0.7707142857142857,0.7671428571428571
95.0,1.6112666130065918,1.6134881973266602,0.7707142857142857,0.7685714285714286
96.0,1.6100176572799683,1.6122251749038696,0.7707142857142857,0.7685714285714286
97.0,1.608789086341858,1.6109833717346191,0.7714285714285715,0.7671428571428571
98.0,1.6075809001922607,1.609762191772461,0.7714285714285715,0.7671428571428571
99.0,1.606392502784729,1.6085609197616577,0.7714285714285715,0.7685714285714286
100.0,1.6052228212356567,1.6073789596557617,0.7714285714285715,0.77
101.0,1.604072093963623,1.6062159538269043,0.7714285714285715,0.77
102.0,1.6029398441314697,1.6050715446472168,0.7714285714285715,0.77
103.0,1.6018251180648804,1.6039451360702515,0.7714285714285715,0.7714285714285715
104.0,1.6007275581359863,1.602836012840271,0.7721428571428571,0.7728571428571429
105.0,1.599647045135498,1.6017444133758545,0.7721428571428571,0.7728571428571429
106.0,1.5985829830169678,1.600669264793396,0.7721428571428571,0.7728571428571429
107.0,1.5975350141525269,1.5996105670928955,0.7721428571428571,0.7728571428571429
108.0,1.5965030193328857,1.5985676050186157,0.7721428571428571,0.7742857142857142
109.0,1.5954861640930176,1.5975404977798462,0.7721428571428571,0.7728571428571429
110.0,1.5944842100143433,1.5965282917022705,0.7721428571428571,0.7728571428571429
111.0,1.5934969186782837,1.5955309867858887,0.7728571428571429,0.7728571428571429
112.0,1.5925240516662598,1.5945483446121216,0.7728571428571429,0.7728571428571429
113.0,1.5915648937225342,1.5935794115066528,0.7728571428571429,0.7728571428571429
114.0,1.5906195640563965,1.5926246643066406,0.7735714285714286,0.7728571428571429
115.0,1.589687466621399,1.5916833877563477,0.7742857142857142,0.7728571428571429
116.0,1.588768482208252,1.5907554626464844,0.775,0.7728571428571429
117.0,1.587862253189087,1.5898399353027344,0.775,0.7728571428571429
118.0,1.5869680643081665,1.5889376401901245,0.7764285714285715,0.7728571428571429
119.0,1.586086630821228,1.5880472660064697,0.7764285714285715,0.7728571428571429
120.0,1.585216760635376,1.5871691703796387,0.7764285714285715,0.7728571428571429
121.0,1.584358811378479,1.5863025188446045,0.7764285714285715,0.7728571428571429
122.0,1.5835119485855103,1.5854476690292358,0.7764285714285715,0.7728571428571429
123.0,1.5826765298843384,1.5846041440963745,0.7764285714285715,0.7728571428571429
124.0,1.5818514823913574,1.5837714672088623,0.7764285714285715,0.7742857142857142
125.0,1.5810377597808838,1.5829498767852783,0.7757142857142857,0.7757142857142857
126.0,1.5802340507507324,1.5821386575698853,0.7757142857142857,0.7757142857142857
127.0,1.579440712928772,1.5813380479812622,0.7757142857142857,0.7757142857142857
128.0,1.5786573886871338,1.5805474519729614,0.7757142857142857,0.7757142857142857
129.0,1.5778839588165283,1.579766869544983,0.7757142857142857,0.7757142857142857
130.0,1.5771201848983765,1.578995704650879,0.7757142857142857,0.7757142857142857
131.0,1.5763658285140991,1.578234314918518,0.7757142857142857,0.7757142857142857
132.0,1.5756206512451172,1.5774822235107422,0.7757142857142857,0.7757142857142857
133.0,1.5748845338821411,1.5767395496368408,0.7764285714285715,0.7757142857142857
